id;name;category;remaining_stock;added_date
1;Steel;Assistant;57374;2021-08-16T22:00:57
2;support navigate;Chilean reboot Dynamic;70131;2021-08-17T06:14:36
3;withdrawal THX Division;Metal;83023;2021-08-17T07:42:05
4;Michigan throughput Union;intermediate initiative Generic;32770;2021-08-17T04:29:08
5;Ball Small;Computer CFP orange;9548;2021-08-17T06:24:28
6;mobile Vermont auxiliary;COM Implementation Awesome;52784;2021-08-17T10:57:10
7;withdrawal invoice;Bike Shoes Center;20319;2021-08-17T11:04:11
8;pixel methodical quantifying;rich South Forward;79521;2021-08-17T11:58:18
9;Computer Arizona mobile;AGP lavender;71562;2021-08-16T22:53:39
10;grey solution;Massachusetts Ergonomic Ergonomic;5859;2021-08-17T14:59:10
